method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
Supervised,42,5,0.512257168489584,0.05266929595525609,0.4894619746988086,0.05243127265374068,0.5607542951977429,0.11800588728984557,0.5242773839699668,0.057199354864939614
Supervised,42,10,0.5553830917757594,0.06765924293094851,0.5635058857261959,0.0762290064138677,0.6222549296197359,0.09905306444039307,0.5773252669017848,0.0818293042227849
Supervised,42,20,0.569223341053844,0.1063571431021058,0.5725024209731548,0.10850729167675506,0.6348383203076466,0.12499313666997187,0.5561153869586832,0.08614242103061509
