method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
Pretrain-FT,42,5,0.4775974009224686,0.1314664797699796,0.5330739712712843,0.05765083255330566,0.5268336208067366,0.17779245336106808,0.5510972704199494,0.07792740047937508
Pretrain-FT,42,10,0.5478846813161118,0.07747824123972241,0.5509039025184017,0.09502733205589271,0.6043589173905386,0.12765780362395165,0.5415817565068142,0.06836135308857401
Pretrain-FT,42,20,0.5576718857268284,0.07835185514940791,0.5489493346742049,0.0898287873339349,0.6237774142174456,0.10233486332614385,0.529738287815836,0.06960118751025596
