method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
Riemannian,42,5,0.46690617971423043,0.09281462219976994,0.5087318931068932,0.055776625137535556,0.49690480164561096,0.11373962361999729,0.5439658908799534,0.13694933841766255
Riemannian,42,10,0.5379206083383954,0.126628120726983,0.5585542929292929,0.135973296634489,0.5452467036073796,0.16120016867981968,0.5593280460858585,0.159553836266896
Riemannian,42,20,0.549139081339745,0.12138056046663642,0.5081588606286187,0.08911387164178335,0.5596298680191131,0.16682357988471613,0.5702506074234905,0.1153372506943836
