method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
MAML-ANIL,42,5,0.5895697389229272,0.06221226307054875,0.5917067529701254,0.07983965234163487,0.6486461394315597,0.09802314347910672,0.6198896660103274,0.09653814976136307
MAML-ANIL,42,10,0.5854441990198054,0.05398173968930138,0.59419689736116,0.08200298148181434,0.6532321780518802,0.08575840731988121,0.6198234821846541,0.10098879224695571
MAML-ANIL,42,20,0.5996957056423411,0.06814871618031167,0.5968023306740293,0.08353670903512218,0.6683358065637348,0.09176474458039315,0.6228843748473766,0.09933200597633246
