method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Supervised,42,S02,5,0.46774193548387094,0.471125730994152,0.5123152709359606,0.45285087719298245,186,72,114,52,37,35,62
Supervised,42,S02,10,0.5111111111111111,0.5377986682334508,0.5164835164835165,0.5789267528397963,180,69,111,47,24,45,64
Supervised,42,S02,20,0.47058823529411764,0.4609375,0.5408163265306123,0.4969044811320755,170,64,106,53,37,27,53
Supervised,42,S06,5,0.5543478260869565,0.4948200654307524,0.7050359712230215,0.5613413304252999,276,14,262,147,8,6,115
Supervised,42,S06,10,0.5259259259259259,0.5352755352755352,0.68,0.5605475605475606,270,11,259,136,5,6,123
Supervised,42,S06,20,0.4846153846153846,0.4921259842519685,0.6473684210526316,0.5045931758530184,260,6,254,123,3,3,131
Supervised,42,S07,5,0.515,0.5399042298483638,0.6523297491039427,0.5666400638467678,200,21,179,91,9,12,88
Supervised,42,S07,10,0.6030927835051546,0.5568181818181819,0.7372013651877133,0.5445075757575757,194,18,176,108,9,9,68
Supervised,42,S07,20,0.5815217391304348,0.6327035537561854,0.717948717948718,0.6518218623481781,184,13,171,98,4,9,73
Supervised,42,S11,5,0.5377049180327869,0.5613414634146341,0.5889212827988338,0.5651219512195121,305,100,205,101,37,63,104
Supervised,42,S11,10,0.5484949832775919,0.5747422680412371,0.599406528189911,0.6009492701847505,299,97,202,101,34,63,101
Supervised,42,S11,20,0.5121107266435986,0.514676671816376,0.5865102639296188,0.5281946590156699,289,92,197,100,44,48,97
Supervised,42,S12,5,0.5483870967741935,0.5068181818181818,0.36363636363636365,0.5045454545454545,93,60,33,12,21,39,21
Supervised,42,S12,10,0.5402298850574713,0.5228070175438597,0.4117647058823529,0.5690058479532164,87,57,30,14,24,33,16
Supervised,42,S12,20,0.5324675324675324,0.5292307692307692,0.41935483870967744,0.49,77,52,25,13,24,28,12
Supervised,42,S13,5,0.4659498207885305,0.4667523124357657,0.31336405529953915,0.501901336073998,279,139,140,34,43,96,106
Supervised,42,S13,10,0.6043956043956044,0.6043634607127523,0.6086956521739131,0.653606698153714,273,136,137,84,55,81,53
Supervised,42,S13,20,0.6159695817490495,0.6156893361091835,0.6431095406360424,0.6647004395095999,263,131,132,91,60,71,41
Supervised,42,S14,5,0.4880239520958084,0.5114444788122487,0.5128205128205128,0.538161150634086,334,122,212,90,49,73,122
Supervised,42,S14,10,0.5426829268292683,0.5615375336737566,0.5786516853932584,0.5843351694744884,328,119,209,103,44,75,106
Supervised,42,S14,20,0.4968553459119497,0.5149638802889577,0.5348837209302325,0.5323787409700722,318,114,204,92,48,66,112
Supervised,42,S16,5,0.4855769230769231,0.5048840048840049,0.43386243386243384,0.5190194420963653,208,91,117,41,31,60,76
Supervised,42,S16,10,0.5247524752475248,0.518042264752791,0.5752212389380531,0.5626993620414673,202,88,114,65,47,41,49
Supervised,42,S16,20,0.59375,0.5861611583950481,0.6422018348623854,0.6382226152315684,192,83,109,70,39,44,39
Supervised,42,S17,5,0.5824561403508772,0.5652624686238132,0.6609686609686609,0.6219033067772564,285,98,187,116,48,50,71
Supervised,42,S17,10,0.6523297491039427,0.6167620137299772,0.7342465753424657,0.6525457665903891,279,95,184,134,47,48,50
Supervised,42,S17,20,0.6505576208178439,0.6462756052141527,0.7151515151515152,0.6693358162631905,269,90,179,118,33,57,61
Supervised,42,S18,5,0.5272727272727272,0.48778638814016173,0.6320754716981132,0.45754716981132076,165,53,112,67,33,20,45
