method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
Full-MAML-Raw,123,5,0.5486446530505656,0.07431548414333974,0.5728678983879374,0.05611841376965769,0.6174567723924478,0.09528951103087271,0.607868015802776,0.07561842836882275
Full-MAML-Raw,123,10,0.5708424467117488,0.0682810576725884,0.5786648917724992,0.06349367379989501,0.6372891196224617,0.09345699948912824,0.6111926381953832,0.08380034674232095
Full-MAML-Raw,123,20,0.5952182037219514,0.06109866679371589,0.5821930622523936,0.05677717857886465,0.6606982303441209,0.08849081885944071,0.6126792952973111,0.08485825199403728
