method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
Full-MAML,123,5,0.5141850696420696,0.08253973720338538,0.5735341295886828,0.07299863957159926,0.5593571195238558,0.09972367060206894,0.6158362095982269,0.09334215143336598
Full-MAML,123,10,0.5620683167238902,0.0750353611422071,0.577968642465158,0.06842817059316782,0.6193659785443403,0.0961346299251303,0.6154107250909278,0.0924631625626756
Full-MAML,123,20,0.5815797010903001,0.07396982349185742,0.5809998307801654,0.07059198133629231,0.6419543248320005,0.0999410808634241,0.6148920853888317,0.09712378930733348
