method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
SubjectConditioned-Raw,123,5,0.5796785065646467,0.05785670607638101,0.5755199483924092,0.039944834306056345,0.6318311566888862,0.08962200900092775,0.6111834237943574,0.06172336675420905
SubjectConditioned-Raw,123,10,0.5840147393294366,0.04437440525861938,0.5744131840869787,0.03478816809419682,0.6529279044244742,0.07058056988600518,0.6107503199406714,0.05447830605481337
SubjectConditioned-Raw,123,20,0.5856602204292254,0.05152775114204839,0.5741057855708414,0.04260235711848441,0.6582950854147513,0.06889037663171131,0.6124988781188005,0.06523885138515664
