method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Pretrain-FT,123,S02,5,0.521505376344086,0.47916666666666663,0.6307053941908713,0.5363060428849903,186,72,114,76,51,21,38
Pretrain-FT,123,S02,10,0.4666666666666667,0.518213866039953,0.4074074074074074,0.4990207598903251,180,69,111,33,18,51,78
Pretrain-FT,123,S02,20,0.5588235294117647,0.5719339622641509,0.5945945945945946,0.5496757075471699,170,64,106,55,24,40,51
Pretrain-FT,123,S06,5,0.2898550724637681,0.49073064340239914,0.4166666666666667,0.43593238822246455,276,14,262,70,4,10,192
Pretrain-FT,123,S06,10,0.5407407407407407,0.6735696735696737,0.6884422110552764,0.7311337311337311,270,11,259,137,2,9,122
Pretrain-FT,123,S06,20,0.5423076923076923,0.4402887139107612,0.7002518891687658,0.5288713910761155,260,6,254,139,4,2,115
Pretrain-FT,123,S07,5,0.265,0.5263367916999202,0.3225806451612903,0.49853684490556,200,21,179,35,3,18,144
Pretrain-FT,123,S07,10,0.4690721649484536,0.5827020202020202,0.6023166023166023,0.6452020202020201,194,18,176,78,5,13,98
Pretrain-FT,123,S07,20,0.5978260869565217,0.4993252361673415,0.7394366197183099,0.5060728744939271,184,13,171,105,8,5,66
Pretrain-FT,123,S11,5,0.5573770491803278,0.5529268292682927,0.6321525885558583,0.5616585365853659,305,100,205,116,46,54,89
Pretrain-FT,123,S11,10,0.5752508361204013,0.4954067571705624,0.6968973747016707,0.5349086455037257,299,97,202,146,71,26,56
Pretrain-FT,123,S11,20,0.4671280276816609,0.47009490178768487,0.5416666666666666,0.47522621937762083,289,92,197,91,48,44,106
Pretrain-FT,123,S12,5,0.40860215053763443,0.48030303030303034,0.46601941747572817,0.4702020202020202,93,60,33,24,46,14,9
Pretrain-FT,123,S12,10,0.42528735632183906,0.4903508771929824,0.45652173913043476,0.4947368421052632,87,57,30,21,41,16,9
Pretrain-FT,123,S12,20,0.37662337662337664,0.4034615384615384,0.3333333333333333,0.3984615384615384,77,52,25,12,35,17,13
Pretrain-FT,123,S13,5,0.5125448028673835,0.5135149023638232,0.3333333333333333,0.5328879753340184,279,139,140,34,30,109,106
Pretrain-FT,123,S13,10,0.5421245421245421,0.5424001717475311,0.5059288537549407,0.5364963503649636,273,136,137,64,52,84,73
Pretrain-FT,123,S13,20,0.5285171102661597,0.5288572750404812,0.48333333333333334,0.5685287994448299,263,131,132,58,50,81,74
Pretrain-FT,123,S14,5,0.5,0.5365372718836994,0.5044510385756676,0.5533946798639034,334,122,212,85,40,82,127
Pretrain-FT,123,S14,10,0.4725609756097561,0.48299223995818424,0.5181058495821727,0.4672912227091794,328,119,209,93,57,62,116
Pretrain-FT,123,S14,20,0.5188679245283019,0.5185758513931888,0.5808219178082191,0.5511265909872721,318,114,204,106,55,59,98
Pretrain-FT,123,S16,5,0.4951923076923077,0.49511599511599513,0.5248868778280543,0.4803230957077111,208,91,117,58,46,45,59
Pretrain-FT,123,S16,10,0.45544554455445546,0.48773923444976075,0.32926829268292684,0.502890749601276,202,88,114,27,23,65,87
Pretrain-FT,123,S16,20,0.5260416666666666,0.5365867138277882,0.5235602094240838,0.5745551011384991,192,83,109,50,32,51,59
Pretrain-FT,123,S17,5,0.5228070175438596,0.5319491432936811,0.5802469135802469,0.5413619993451926,285,98,187,94,43,55,93
Pretrain-FT,123,S17,10,0.4444444444444444,0.5126144164759725,0.41509433962264153,0.4902173913043478,279,95,184,55,26,69,129
Pretrain-FT,123,S17,20,0.5241635687732342,0.5430167597765363,0.5761589403973509,0.5972067039106146,269,90,179,87,36,54,92
Pretrain-FT,123,S18,5,0.49696969696969695,0.5201314016172507,0.5513513513513514,0.5402628032345013,165,53,112,51,22,31,61
Pretrain-FT,123,S18,10,0.559748427672956,0.5760550458715596,0.6236559139784946,0.5895412844036698,159,50,109,58,19,31,51
Pretrain-FT,123,S18,20,0.5369127516778524,0.5674145299145299,0.5964912280701754,0.6455128205128206,149,45,104,51,16,29,53
Pretrain-FT,123,S20,5,0.4696969696969697,0.511993382961125,0.5205479452054794,0.5285359801488834,132,39,93,38,15,24,55
Pretrain-FT,123,S20,10,0.47619047619047616,0.5249999999999999,0.5285714285714286,0.5231481481481481,126,36,90,37,13,23,53
Pretrain-FT,123,S20,20,0.5603448275862069,0.5462998102466793,0.6577181208053692,0.5628083491461101,116,31,85,49,15,16,36
Pretrain-FT,123,S21,5,0.19642857142857142,0.5909090909090909,0.3076923076923077,0.9090909090909091,56,1,55,10,0,1,45
Pretrain-FT,123,S21,10,0.8461538461538461,0.8461538461538461,0.9166666666666666,,52,0,52,44,0,0,8
Pretrain-FT,123,S21,20,0.8297872340425532,0.8297872340425532,0.9069767441860465,,47,0,47,39,0,0,8
