method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
Full-MAML-Uniform,123,5,0.43894574531859915,0.14106466787462266,0.5615049292843881,0.07630642339260867,0.404002613076456,0.23238685157114117,0.6152697591701295,0.0944134852162994
Full-MAML-Uniform,123,10,0.4835287775957666,0.133383890679879,0.5622141961964418,0.06321811078974127,0.45576913945791897,0.2200386380021318,0.6138116510320315,0.09154950483381463
Full-MAML-Uniform,123,20,0.5200384875705002,0.12992761549755485,0.5596837632062479,0.03634465892404005,0.5096809888978799,0.1947993163779886,0.6137604159835037,0.08975759655794435
