method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
Full-MAML-Raw,456,5,0.5728296066201428,0.08390538925589217,0.575463043223352,0.05616527175055088,0.6396878129146034,0.10397291613609702,0.6180318222708023,0.0937507448587696
Full-MAML-Raw,456,10,0.590039264530266,0.0756039101441043,0.5828257980795891,0.0632879196884144,0.660212278794384,0.08865852592775368,0.6253580299214365,0.0897898795877538
Full-MAML-Raw,456,20,0.6133916858614459,0.07379129808963163,0.5867066194315858,0.05357435831507575,0.6806914392851409,0.09462711845044433,0.6220099358637019,0.09580814272571112
