method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
EEGNet,456,5,0.6101727695134369,0.09820655372859001,0.6101329920079921,0.09877236161406741,0.6167113873394972,0.11791902330196688,0.6468673253829503,0.12062051473564832
EEGNet,456,10,0.6378239020545694,0.10511141526793505,0.6238833648989899,0.08736485485836346,0.6489810775673794,0.12625305286137845,0.673213896780303,0.11298735262745063
EEGNet,456,20,0.6613808689089422,0.12807297945244428,0.6383253334367245,0.09481866666182291,0.6732878024792928,0.14279413928686385,0.687956909765302,0.1198112803505173
