method,seed,k_shots,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_score_mean,f1_score_std,auroc_mean,auroc_std
Riemannian,456,5,0.525574307296056,0.11083821913287624,0.5077818015318015,0.07313773800043674,0.5158723816557342,0.13373316406417404,0.5352704977314352,0.09419524226610007
Riemannian,456,10,0.5800624182655223,0.10052782284488514,0.5878945707070707,0.10601160103550548,0.5940786858747366,0.13138161682427338,0.5913936237373738,0.11912236491210486
Riemannian,456,20,0.5731632864418983,0.11193749839327578,0.5855736921009098,0.14320840022721382,0.5974810242933417,0.13863329547339126,0.6285619701199339,0.1745513610051019
