method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Supervised,456,S02,5,0.478494623655914,0.5233918128654971,0.4327485380116959,0.5327729044834308,186,72,114,37,20,52,77
Supervised,456,S02,10,0.5222222222222223,0.5193889541715628,0.5784313725490197,0.5662619140880011,180,69,111,59,34,35,52
Supervised,456,S02,20,0.6588235294117647,0.6459316037735849,0.7184466019417476,0.6950176886792452,170,64,106,74,26,38,32
Supervised,456,S06,5,0.5978260869565217,0.4501090512540894,0.74364896073903,0.4820065430752454,276,14,262,161,10,4,101
Supervised,456,S06,10,0.43703703703703706,0.575991575991576,0.5913978494623656,0.6009126009126009,270,11,259,110,3,8,149
Supervised,456,S06,20,0.47692307692307695,0.5695538057742782,0.6382978723404256,0.5564304461942258,260,6,254,120,2,4,134
Supervised,456,S07,5,0.435,0.5582601755786114,0.5603112840466926,0.6118648576749135,200,21,179,72,6,15,107
Supervised,456,S07,10,0.5773195876288659,0.5426136363636364,0.7152777777777778,0.5195707070707071,194,18,176,103,9,9,73
Supervised,456,S07,20,0.6141304347826086,0.5436347278452542,0.7508771929824561,0.5793972109761583,184,13,171,107,7,6,64
Supervised,456,S11,5,0.6229508196721312,0.6529268292682926,0.6685878962536023,0.6881463414634147,305,100,205,116,26,74,89
Supervised,456,S11,10,0.5183946488294314,0.5149535572113912,0.5955056179775281,0.5705317954475859,299,97,202,106,48,49,96
Supervised,456,S11,20,0.5190311418685121,0.545823217832708,0.5723076923076923,0.5773008165967777,289,92,197,93,35,57,104
Supervised,456,S12,5,0.44086021505376344,0.478030303030303,0.43478260869565216,0.44494949494949493,93,60,33,20,39,21,13
Supervised,456,S12,10,0.5402298850574713,0.5780701754385964,0.5121951219512195,0.5923976608187135,87,57,30,21,31,26,9
Supervised,456,S12,20,0.5064935064935064,0.5307692307692308,0.4411764705882353,0.6569230769230769,77,52,25,15,28,24,10
Supervised,456,S13,5,0.5376344086021505,0.5378468653648509,0.5095057034220533,0.5534943473792394,279,139,140,67,56,83,73
Supervised,456,S13,10,0.5567765567765568,0.5568913696865607,0.5433962264150943,0.5988085015027907,273,136,137,72,56,80,65
Supervised,456,S13,20,0.6045627376425855,0.6049040018505667,0.5666666666666667,0.6619824196160073,263,131,132,68,40,91,64
Supervised,456,S14,5,0.49101796407185627,0.47900556758428703,0.5663265306122449,0.49218991648623567,334,122,212,111,69,53,101
Supervised,456,S14,10,0.5487804878048781,0.5590848779703268,0.5956284153005464,0.5902858751155964,328,119,209,109,48,71,100
